y,ydiff,y_new
45,0.014749999999999375,44.98525
45.0295,0.014700000000001268,45.014799999999994
45.0589,0.014699999999997715,45.044200000000004
45.0883,0.014750000000002927,45.07355
45.1178,0.014699999999997715,45.103100000000005
45.1472,0.014649999999999608,45.132549999999995
45.1765,0.014700000000001268,45.1618
45.2059,0.014700000000001268,45.191199999999995
45.2353,0.014649999999999608,45.220650000000006
45.2646,0.014649999999999608,45.24995
45.2939,0.014700000000001268,45.2792
45.3233,0.014649999999999608,45.30865
45.3526,0.014599999999997948,45.33800000000001
45.3818,0.014649999999999608,45.367149999999995
45.4111,0.014649999999999608,45.39645
45.4404,0.0146000000000015,45.425799999999995
45.4696,0.0146000000000015,45.455
45.4988,0.014599999999997948,45.4842
45.528,0.0146000000000015,45.5134
45.5572,0.014599999999997948,45.54260000000001
45.5864,0.01454999999999984,45.57185
45.6155,0.0146000000000015,45.600899999999996
45.6447,0.01454999999999984,45.63015
45.6738,0.01454999999999984,45.65925
45.7029,0.01454999999999984,45.68835
45.732,0.01454999999999984,45.71745
45.7611,0.01454999999999984,45.74655
45.7902,0.014500000000001734,45.7757
45.8192,0.01454999999999984,45.80465
45.8483,0.014499999999998181,45.833800000000004
45.8773,0.014500000000001734,45.86279999999999
45.9063,0.014499999999998181,45.8918
45.9353,0.014500000000001734,45.9208
45.9643,0.014450000000000074,45.94985
45.9932,0.014499999999998181,45.9787
46.0222,0.014450000000000074,46.00775
46.0511,0.014450000000000074,46.036649999999995
46.08,0.014450000000000074,46.06555
46.1089,0.014450000000000074,46.094449999999995
46.1378,0.014450000000000074,46.12335
46.1667,0.014400000000001967,46.1523
46.1955,0.014450000000000074,46.18105
46.2244,0.014399999999998414,46.21000000000001
46.2532,0.014399999999998414,46.2388
46.282,0.014400000000001967,46.267599999999995
46.3108,0.014399999999998414,46.296400000000006
46.3396,0.014400000000001967,46.325199999999995
46.3684,0.014350000000000307,46.35405
46.3971,0.014399999999998414,46.3827
46.4259,0.014350000000000307,46.41155
46.4546,0.014350000000000307,46.44025
46.4833,0.014350000000000307,46.46895
46.512,0.014299999999998647,46.4977
46.5406,0.014350000000000307,46.52625
46.5693,0.014350000000000307,46.55495
46.598,0.0143000000000022,46.58369999999999
46.6266,0.014299999999998647,46.612300000000005
46.6552,0.014299999999998647,46.6409
46.6838,0.0143000000000022,46.6695
46.7124,0.014299999999998647,46.698100000000004
46.741,0.01425000000000054,46.726749999999996
46.7695,0.01425000000000054,46.755250000000004
46.798,0.014299999999998647,46.7837
46.8266,0.01425000000000054,46.812349999999995
46.8551,0.01425000000000054,46.84085
46.8836,0.01419999999999888,46.8694
46.912,0.01425000000000054,46.89775
46.9405,0.01425000000000054,46.926249999999996
46.969,0.01419999999999888,46.954800000000006
46.9974,0.01419999999999888,46.9832
47.0258,0.014200000000002433,47.011599999999994
47.0542,0.01419999999999888,47.040000000000006
47.0826,0.01419999999999888,47.0684
47.111,0.014150000000000773,47.096849999999996
47.1393,0.014200000000002433,47.125099999999996
47.1677,0.01414999999999722,47.15355000000001
47.196,0.014150000000000773,47.18185
47.2243,0.014150000000000773,47.21015
47.2526,0.014150000000000773,47.23845
47.2809,0.01414999999999722,47.26675
47.3092,0.014100000000002666,47.29509999999999
47.3374,0.014099999999999113,47.3233
47.3656,0.014150000000000773,47.35145
47.3939,0.014099999999999113,47.3798
47.4221,0.014099999999999113,47.408
47.4503,0.014050000000001006,47.43625
47.4784,0.014099999999999113,47.4643
47.5066,0.014099999999999113,47.4925
47.5348,0.014050000000001006,47.52074999999999
47.5629,0.014050000000001006,47.54885
47.591,0.014050000000001006,47.57695
47.6191,0.014049999999997453,47.605050000000006
47.6472,0.014050000000001006,47.63315
47.6753,0.013999999999999346,47.6613
47.7033,0.014050000000001006,47.68925
47.7314,0.013999999999999346,47.7174
47.7594,0.013999999999999346,47.745400000000004
47.7874,0.013999999999999346,47.773399999999995
47.8154,0.014000000000002899,47.801399999999994
47.8434,0.013949999999997686,47.82945000000001
47.8713,0.013999999999999346,47.857299999999995
47.8993,0.01395000000000124,47.885349999999995
47.9272,0.01395000000000124,47.91325
47.9551,0.013949999999997686,47.94115000000001
47.983,0.01395000000000124,47.969049999999996
48.0109,0.01395000000000124,47.99695
48.0388,0.013949999999997686,48.02485
48.0667,0.01389999999999958,48.0528
48.0945,0.013900000000003132,48.08059999999999
48.1223,0.01389999999999958,48.1084
48.1501,0.01389999999999958,48.1362
48.1779,0.01389999999999958,48.164
48.2057,0.01389999999999958,48.1918
48.2335,0.01389999999999958,48.2196
48.2613,0.013850000000001472,48.24745
48.289,0.01384999999999792,48.275150000000004
48.3167,0.013850000000001472,48.30284999999999
48.3444,0.013850000000001472,48.33055
48.3721,0.01384999999999792,48.358250000000005
48.3998,0.013850000000001472,48.385949999999994
48.4275,0.013799999999999812,48.413700000000006
48.4551,0.013799999999999812,48.4413
48.4827,0.01384999999999792,48.46885
48.5104,0.013799999999999812,48.4966
48.538,0.013800000000003365,48.52419999999999
48.5656,0.013749999999998153,48.55185
48.5931,0.013799999999999812,48.5793
48.6207,0.013750000000001705,48.60695
48.6482,0.013799999999999812,48.6344
48.6758,0.013749999999998153,48.66205000000001
48.7033,0.013750000000001705,48.68955
48.7308,0.013749999999998153,48.71705
48.7583,0.013700000000000045,48.7446
48.7857,0.013750000000001705,48.77195
48.8132,0.013700000000000045,48.7995
48.8406,0.013700000000000045,48.8269
48.868,0.013700000000000045,48.8543
48.8954,0.013700000000000045,48.8817
48.9228,0.013700000000000045,48.9091
